0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:08:19 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11620
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:08:20 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11620
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:08:20 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11620
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:08:20 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11620
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:08:28 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11620
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:08:29 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11620
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:08:29 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11620
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:09:21 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11660
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:11:22 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11656
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:11:24 +0900] "GET /JSP/main.jsp HTTP/1.1" 200 3305
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:11:25 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11656
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:11:26 +0900] "GET /JSP/bbs.jsp HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:11:27 +0900] "GET /JSP/bbs.jsp HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:11:27 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11656
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:11:28 +0900] "GET /JSP/Chat.jsp HTTP/1.1" 200 2539
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:11:28 +0900] "GET /JSP/css/style.css HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:11:28 +0900] "GET /JSP/js/app.js HTTP/1.1" 404 828
